WhiteElo,BlackElo,pre_eval,post_eval,queen_trade_made,first_queen_trade,my_color,result
1345,1346,492,366,True,59.0,White,1-0
1369,1364,-250,-312,False,39.0,White,0-1
1373,1636,318,-825,True,49.0,White,0-1
1372,1214,946,893,True,23.0,White,1-0
1387,1393,203,199,True,33.0,White,1-0
1271,1183,499,496,True,39.0,White,1-0
1401,1186,544,543,True,45.0,White,1-0
1275,1689,38,50,True,55.0,White,0-1
1419,1323,360,-583,False,35.0,White,0-1
1406,1407,99996,99988,False,101.0,White,1-0
1269,1620,16,8,True,71.0,White,0-1
1444,1510,19,14,True,39.0,White,0-1
1437,1380,-184,-315,True,87.0,White,1-0
1473,1440,141,120,True,41.0,White,1-0
1498,1057,99996,1509,False,79.0,White,1-0
1497,1504,-279,-285,True,25.0,White,0-1
1465,1411,348,342,True,37.0,White,1-0
1496,1328,99997,99998,True,41.0,White,1-0
1263,1294,-340,-346,True,29.0,White,1-0
1511,1557,-292,-283,True,33.0,White,0-1
1515,1474,326,170,True,29.0,White,1-0
1517,1568,617,612,True,53.0,White,1-0
1498,1462,99998,450,True,35.0,White,1-0
1485,1515,952,1023,True,75.0,White,1-0
1486,1494,159,150,True,71.0,White,1-0
1478,1500,907,916,True,27.0,White,1-0
1474,1536,681,506,True,55.0,White,1-0
1491,1568,-44,-60,True,39.0,White,1-0
1480,1493,130,-194,True,43.0,White,1-0
1478,1507,272,166,True,53.0,White,1-0
1273,1307,99997,99998,True,49.0,White,1-0
1532,1516,160,136,True,21.0,White,0-1
1310,1259,-13,-34,True,33.0,White,1-0
1516,1447,471,464,True,67.0,White,1-0
1525,1508,623,617,True,47.0,White,1-0
1274,1282,99998,99999,False,47.0,White,1-0
1464,1466,-87,-144,True,35.0,White,1-0
1449,1528,340,345,False,37.0,White,1-0
1438,1488,6,1,True,29.0,White,0-1
1448,999,739,707,True,25.0,White,1-0
1471,1505,-456,-414,True,33.0,White,0-1
1483,1889,357,0,True,59.0,White,0-1
1262,1830,-1474,-1276,True,65.0,White,0-1
1348,1243,-99999,-99999,True,43.0,White,0-1
1529,1525,143,162,True,27.0,White,0-1
1505,1156,839,825,True,35.0,White,1-0
1501,1263,-283,-525,False,31.0,White,1-0
1358,1670,-844,-920,True,57.0,White,0-1
1542,1499,536,526,True,75.0,White,1-0
1563,1645,150,-504,True,93.0,White,1-0
1549,1576,548,599,False,69.0,White,1-0
1563,1577,496,528,True,49.0,White,1-0
1578,1631,-161,-217,False,31.0,White,0-1
1557,1570,387,383,True,37.0,White,1-0
1563,1578,218,-508,False,35.0,White,0-1
1566,1563,517,518,True,45.0,White,1-0
1579,1500,3,5,True,51.0,White,1-0
1318,1442,679,693,True,33.0,White,1-0
1568,1500,300,313,True,39.0,White,1-0
1595,1504,-54,-51,True,47.0,White,1/2-1/2
1603,1587,455,221,True,29.0,White,1-0
1575,1558,106,14,True,37.0,White,1-0
1550,1555,663,775,False,57.0,White,1-0
1538,1532,553,536,True,47.0,White,1-0
1521,1517,-74,-82,True,29.0,White,1-0
1515,1499,-64,-131,False,35.0,White,0-1
1360,1339,-545,-734,True,29.0,White,0-1
1357,1335,54,43,True,23.0,White,0-1
1363,1469,-7,-738,True,23.0,White,0-1
1362,1338,328,294,True,15.0,White,1-0
1533,1602,127,74,True,17.0,White,0-1
1519,1510,415,275,True,31.0,White,1-0
1367,1278,261,263,True,43.0,White,1/2-1/2
1363,1463,-7,-14,False,51.0,White,1-0
1505,1527,1048,1042,False,55.0,White,1-0
1499,1486,294,288,False,13.0,White,1-0
1441,1426,365,33,True,43.0,White,0-1
1462,1405,37,28,True,47.0,White,1-0
1466,1519,-638,-1246,True,47.0,White,0-1
1462,1486,119,60,True,41.0,White,1-0
1436,1094,4678,4673,True,95.0,White,1-0
1401,1430,-399,-431,True,29.0,White,0-1
1337,1579,-445,-467,True,53.0,White,1-0
1335,1155,857,688,True,41.0,White,1-0
1399,1437,535,436,False,69.0,White,1/2-1/2
1380,1295,589,594,True,37.0,White,0-1
1384,1379,162,169,True,31.0,White,1-0
1382,1361,675,656,False,51.0,White,1-0
1400,1401,70,85,True,19.0,White,1/2-1/2
1402,1341,99992,708,True,53.0,White,1-0
1396,1465,348,182,True,73.0,White,1-0
1375,1392,-43,-132,True,27.0,White,0-1
1381,1362,99997,-713,True,67.0,White,0-1
1386,1399,626,595,True,53.0,White,1-0
1366,1380,-188,-171,True,11.0,White,0-1
1381,1119,463,467,True,21.0,White,0-1
1388,1459,80,110,True,25.0,White,0-1
1436,1397,553,528,True,25.0,White,1-0
1397,1397,99996,884,False,57.0,White,1-0
1408,1570,-499,-591,True,47.0,White,0-1
1397,1554,-317,-305,True,15.0,White,0-1
1410,1485,-60,-84,True,43.0,White,0-1
1409,1402,235,232,True,53.0,White,1-0
1451,1402,-525,-600,True,51.0,White,0-1
1437,1550,305,294,True,45.0,White,1-0
1367,1368,512,417,True,39.0,White,1-0
1376,1443,503,-339,False,37.0,White,0-1
1372,1350,-332,-347,True,25.0,White,0-1
1361,1438,72,77,True,27.0,White,1-0
1451,1472,-504,-633,True,95.0,White,0-1
1356,1256,52,21,True,27.0,White,1-0
1378,1359,241,244,True,27.0,White,0-1
1436,1469,102,33,True,41.0,White,1/2-1/2
1378,1319,-349,-329,True,49.0,White,0-1
1469,1514,978,934,False,33.0,White,1-0
1383,1211,617,618,True,35.0,White,1-0
1486,1504,256,276,False,43.0,White,1-0
1510,1481,495,448,True,49.0,White,0-1
1375,1880,-594,-587,True,37.0,White,0-1
1493,1491,119,55,True,13.0,White,0-1
1481,1510,278,87,False,29.0,White,0-1
1381,1309,99996,99997,False,41.0,White,1-0
1474,1400,119,15,True,13.0,White,0-1
1377,1462,-16,-11,False,47.0,White,0-1
1349,1454,-269,-275,True,45.0,White,1-0
1451,1390,111,44,True,13.0,White,1-0
1346,1126,-517,-537,True,77.0,White,0-1
1457,1630,-366,-630,True,53.0,White,0-1
1449,1532,42,-349,True,35.0,White,0-1
1406,1372,88,85,True,35.0,White,1-0
1207,1213,-77,-306,True,57.0,White,1-0
1406,1386,165,160,True,25.0,White,0-1
1394,1538,2,-48,False,15.0,White,1-0
1400,1386,-42,-99996,True,41.0,White,0-1
1345,1356,627,639,True,39.0,White,1-0
1342,1520,-626,-683,True,19.0,White,1-0
1322,1415,583,564,True,75.0,White,1-0
1301,1216,-282,-288,True,43.0,White,1-0
1350,1492,-218,-208,True,55.0,White,0-1
1351,1352,194,187,True,21.0,White,1-0
1362,1280,28,8,True,21.0,White,1-0
1376,1372,51,53,True,19.0,White,0-1
1297,1446,-51,-902,True,71.0,White,0-1
1359,1372,-50,-41,True,39.0,White,1-0
1352,1489,188,115,True,47.0,White,1-0
1356,1121,136,34,False,23.0,White,0-1
1361,1314,782,770,False,31.0,White,1-0
1347,1417,642,628,True,39.0,White,1-0
1324,1323,409,411,True,23.0,White,1-0
1336,1388,252,1,True,53.0,White,0-1
1334,1346,637,557,True,49.0,White,1-0
1325,1360,448,386,True,35.0,White,0-1
1297,1250,554,553,True,27.0,White,1-0
1309,1302,91,54,True,17.0,White,0-1
1304,1200,596,603,True,51.0,White,1-0
1269,1312,36,-10,False,13.0,White,0-1
1261,1352,-2,-102,False,35.0,White,1-0
1264,1263,-190,-223,True,39.0,White,0-1
1289,1400,-486,-487,True,57.0,White,0-1
1290,1288,45,60,True,19.0,White,1-0
1290,1231,613,613,True,33.0,White,1-0
1298,1276,-14,-126,True,27.0,White,0-1
1360,1356,660,657,True,45.0,White,1-0
1374,1517,13,15,True,29.0,White,0-1
1372,1397,266,-401,True,51.0,White,0-1
1366,1255,644,529,True,45.0,White,1-0
1486,1505,28,-14,True,15.0,White,0-1
1462,1420,550,528,True,31.0,White,1-0
1449,1420,-7,0,True,21.0,White,1-0
1447,1506,-756,-760,True,31.0,White,0-1
1461,1449,274,281,True,13.0,White,0-1
1455,1437,-35,-35,True,55.0,White,1-0
